type                               , min         , max         , mean        , median      , variance    , std. dev.     , iterations
"NULL"                             , 3.600000e+01, 5.400000e+01, 4.299920e+01, 3.478747e+00, 4.200000e+01, 1.688131e-4932,      10000
"ML-DSA-44 Key Generation"         , 4.443200e+05, 7.903474e+06, 4.713289e+05, 4.537200e+05, 1.027403e+10, 1.013609e+05  ,      10000
"ML-DSA-65 Key Generation"         , 7.708400e+05, 1.369374e+06, 7.841334e+05, 7.795320e+05, 1.006255e+09, 3.172152e+04  ,      10000
"ML-DSA-87 Key Generation"         , 1.113770e+06, 1.683230e+06, 1.132487e+06, 1.128622e+06, 6.742948e+08, 2.596719e+04  ,      10000
"ML-DSA-44 Serialization Private"  , 1.210000e+03, 1.553200e+04, 1.515786e+03, 1.484000e+03, 8.853861e+04, 2.975544e+02  ,      10000
"ML-DSA-65 Serialization Private"  , 1.488000e+03, 1.906400e+04, 1.853608e+03, 1.802000e+03, 1.700910e+05, 4.124209e+02  ,      10000
"ML-DSA-87 Serialization Private"  , 1.728000e+03, 1.729000e+04, 2.177903e+03, 2.152000e+03, 9.129634e+04, 3.021528e+02  ,      10000
"ML-DSA-44 Serialization Public"   , 9.220000e+02, 1.804600e+04, 1.200179e+03, 1.176000e+03, 9.319016e+04, 3.052706e+02  ,      10000
"ML-DSA-65 Serialization Public"   , 1.072000e+03, 1.560000e+04, 1.389533e+03, 1.364000e+03, 7.652578e+04, 2.766329e+02  ,      10000
"ML-DSA-87 Serialization Public"   , 1.132000e+03, 1.691400e+04, 1.639127e+03, 1.564000e+03, 2.494506e+05, 4.994503e+02  ,      10000
"ML-DSA-44 Deserialization Private", 4.188720e+05, 7.590540e+05, 4.569985e+05, 4.488880e+05, 8.337343e+08, 2.887446e+04  ,      10000
"ML-DSA-65 Deserialization Private", 6.766900e+05, 1.281264e+06, 7.151726e+05, 7.054560e+05, 1.573639e+09, 3.966911e+04  ,      10000
"ML-DSA-87 Deserialization Private", 1.117034e+06, 2.214730e+06, 1.157901e+06, 1.134306e+06, 1.099902e+10, 1.048762e+05  ,      10000
"ML-DSA-44 Deserialization Public" , 2.700600e+04, 9.753800e+04, 3.120663e+04, 2.873200e+04, 5.080558e+07, 7.127804e+03  ,      10000
"ML-DSA-65 Deserialization Public" , 3.496600e+04, 1.213000e+05, 3.722176e+04, 3.653000e+04, 1.842566e+07, 4.292512e+03  ,      10000
"ML-DSA-87 Deserialization Public" , 4.262800e+04, 1.259680e+05, 4.452069e+04, 4.421400e+04, 7.789431e+06, 2.790955e+03  ,      10000
"ML-DSA-44 Signing"                , 9.625480e+05, 1.455445e+07, 2.499215e+06, 1.889010e+06, 2.943424e+12, 1.715641e+06  ,      10000
"ML-DSA-65 Signing"                , 1.409164e+06, 2.910336e+07, 4.007621e+06, 3.317312e+06, 8.070965e+12, 2.840944e+06  ,      10000
"ML-DSA-87 Signing"                , 2.070098e+06, 3.613970e+07, 4.696255e+06, 3.889864e+06, 9.192503e+12, 3.031914e+06  ,      10000
"ML-DSA-44 Verification"           , 5.005080e+05, 9.673220e+05, 5.089258e+05, 5.070680e+05, 5.066658e+07, 7.118046e+03  ,      10000
"ML-DSA-65 Verification"           , 7.662560e+05, 1.292612e+06, 7.774746e+05, 7.745480e+05, 9.701142e+07, 9.849438e+03  ,      10000
"ML-DSA-87 Verification"           , 1.195398e+06, 1.925204e+06, 1.212531e+06, 1.208368e+06, 1.867156e+08, 1.366439e+04  ,      10000
