type                                      , min         , max         , mean        , median      , variance    , std. dev.     , iterations
"NULL"                                    , 2.200000e+01, 1.646000e+04, 2.737100e+01, 2.701013e+04, 2.600000e+01, 1.687003e-4932,      10000
"ML-KEM-AUTH-512 Key Generation"          , 7.437200e+04, 4.215820e+06, 8.504065e+04, 7.602400e+04, 2.161319e+09, 4.648999e+04  ,      10000
"ML-KEM-AUTH-768 Key Generation"          , 1.081480e+05, 5.615680e+05, 1.147934e+05, 1.125960e+05, 2.505747e+08, 1.582955e+04  ,      10000
"ML-KEM-AUTH-1024 Key Generation"         , 1.650000e+05, 5.367140e+05, 1.766485e+05, 1.710740e+05, 6.519521e+08, 2.553335e+04  ,      10000
"ML-KEM-AUTH-512 Serialization Private"   , 7.974000e+03, 1.760980e+05, 1.256235e+04, 1.200600e+04, 7.126182e+07, 8.441671e+03  ,      10000
"ML-KEM-AUTH-768 Serialization Private"   , 1.077800e+04, 1.374480e+05, 1.599789e+04, 1.532800e+04, 5.172588e+07, 7.192071e+03  ,      10000
"ML-KEM-AUTH-1024 Serialization Private"  , 1.351200e+04, 2.169600e+05, 2.031499e+04, 1.809800e+04, 9.736497e+07, 9.867369e+03  ,      10000
"ML-KEM-AUTH-512 Serialization Public"    , 4.230000e+03, 5.437680e+05, 6.243440e+03, 4.762000e+03, 5.519762e+07, 7.429510e+03  ,      10000
"ML-KEM-AUTH-768 Serialization Public"    , 5.524000e+03, 1.772500e+05, 8.538709e+03, 6.322000e+03, 3.763815e+07, 6.134993e+03  ,      10000
"ML-KEM-AUTH-1024 Serialization Public"   , 6.798000e+03, 1.631320e+05, 1.015727e+04, 1.054200e+04, 3.293314e+07, 5.738741e+03  ,      10000
"ML-KEM-AUTH-512 Deserialization Private" , 1.548280e+05, 7.809220e+05, 1.690701e+05, 1.628120e+05, 6.561573e+08, 2.561557e+04  ,      10000
"ML-KEM-AUTH-768 Deserialization Private" , 2.209680e+05, 5.045040e+05, 2.305602e+05, 2.275840e+05, 2.286603e+08, 1.512152e+04  ,      10000
"ML-KEM-AUTH-1024 Deserialization Private", 3.117020e+05, 9.234380e+05, 3.245866e+05, 3.201600e+05, 3.923915e+08, 1.980887e+04  ,      10000
"ML-KEM-AUTH-512 Deserialization Public"  , 3.238000e+04, 1.960880e+05, 3.751598e+04, 3.671400e+04, 4.743070e+07, 6.886995e+03  ,      10000
"ML-KEM-AUTH-768 Deserialization Public"  , 5.961600e+04, 2.609700e+05, 6.473750e+04, 6.312600e+04, 4.092556e+07, 6.397308e+03  ,      10000
"ML-KEM-AUTH-1024 Deserialization Public" , 9.429400e+04, 3.275880e+05, 1.035329e+05, 1.015460e+05, 8.476111e+07, 9.206580e+03  ,      10000
"ML-KEM-AUTH-512 Encapsulation"           , 5.637000e+04, 2.992440e+05, 7.288996e+04, 6.153200e+04, 3.767321e+08, 1.940959e+04  ,      10000
"ML-KEM-AUTH-768 Encapsulation"           , 7.323200e+04, 3.074680e+05, 9.024748e+04, 7.996600e+04, 4.772249e+08, 2.184548e+04  ,      10000
"ML-KEM-AUTH-1024 Encapsulation"          , 9.689200e+04, 3.675940e+05, 1.143778e+05, 1.030520e+05, 7.083683e+08, 2.661519e+04  ,      10000
"ML-KEM-AUTH-512 Decapsulation"           , 7.811400e+04, 2.872020e+05, 9.129819e+04, 8.082400e+04, 4.740319e+08, 2.177227e+04  ,      10000
"ML-KEM-AUTH-768 Decapsulation"           , 1.028000e+05, 3.350240e+05, 1.201387e+05, 1.068660e+05, 7.582745e+08, 2.753678e+04  ,      10000
"ML-KEM-AUTH-1024 Decapsulation"          , 1.329480e+05, 4.119160e+05, 1.586216e+05, 1.402000e+05, 1.297336e+09, 3.601856e+04  ,      10000
