type,min,max,mean,median,variance,std. dev.,iterations
"NULL",2.200000e+01,4.000000e+01,2.525140e+01,1.386537e+00,2.600000e+01,1.687003e-4932,10000
"SLH-DSA-128 Key Generation",1.978532e+08,2.708274e+08,1.993769e+08,1.986519e+08,5.768495e+12,2.401769e+06,10000
"SLH-DSA-129 Key Generation",3.086824e+06,4.334874e+06,3.115173e+06,3.095992e+06,4.467115e+09,6.683648e+04,10000
"SLH-DSA-192 Key Generation",2.877703e+08,4.181471e+08,2.897456e+08,2.886558e+08,1.065380e+13,3.264016e+06,10000
"SLH-DSA-193 Key Generation",4.492596e+06,7.281510e+06,4.517550e+06,4.499466e+06,5.788558e+09,7.608257e+04,10000
"SLH-DSA-256 Key Generation",1.884613e+08,3.215032e+08,1.897018e+08,1.890416e+08,1.668975e+13,4.085309e+06,10000
"SLH-DSA-257 Key Generation",1.177305e+07,2.437772e+07,1.190005e+07,1.179314e+07,3.619660e+11,6.016361e+05,10000
"SLH-DSA-128 Serialization Private",3.400000e+02,4.346000e+04,7.259178e+02,6.160000e+02,3.843748e+05,6.199797e+02,10000
"SLH-DSA-129 Serialization Private",1.720000e+02,4.212000e+03,2.648258e+02,2.480000e+02,6.251096e+03,7.906388e+01,10000
"SLH-DSA-192 Serialization Private",3.300000e+02,5.144800e+04,8.149194e+02,6.420000e+02,7.390916e+05,8.597044e+02,10000
"SLH-DSA-193 Serialization Private",1.960000e+02,4.610000e+03,2.956902e+02,2.800000e+02,6.636884e+03,8.146707e+01,10000
"SLH-DSA-256 Serialization Private",3.420000e+02,4.736600e+04,7.304066e+02,6.240000e+02,5.591410e+05,7.477573e+02,10000
"SLH-DSA-257 Serialization Private",2.160000e+02,4.159600e+04,3.345788e+02,2.900000e+02,1.821030e+05,4.267352e+02,10000
"SLH-DSA-128 Serialization Public",2.860000e+02,5.271400e+04,6.829894e+02,5.720000e+02,4.378041e+05,6.616677e+02,10000
"SLH-DSA-129 Serialization Public",1.160000e+02,7.779000e+04,2.342772e+02,2.140000e+02,6.052092e+05,7.779520e+02,10000
"SLH-DSA-192 Serialization Public",2.360000e+02,4.618000e+03,7.113862e+02,5.700000e+02,2.551729e+05,5.051464e+02,10000
"SLH-DSA-193 Serialization Public",1.500000e+02,4.106000e+03,2.517210e+02,2.360000e+02,6.569692e+03,8.105364e+01,10000
"SLH-DSA-256 Serialization Public",2.840000e+02,4.498000e+03,6.574380e+02,5.720000e+02,1.516923e+05,3.894770e+02,10000
"SLH-DSA-257 Serialization Public",1.480000e+02,4.186000e+04,2.891118e+02,2.540000e+02,1.826139e+05,4.273334e+02,10000
"SLH-DSA-128 Deserialization Private",2.356000e+03,6.452400e+04,4.536311e+03,3.470000e+03,1.150213e+07,3.391480e+03,10000
"SLH-DSA-129 Deserialization Private",1.324000e+03,5.089000e+04,1.877583e+03,1.556000e+03,2.347692e+06,1.532218e+03,10000
"SLH-DSA-192 Deserialization Private",2.634000e+03,8.823000e+04,5.239845e+03,3.760000e+03,1.646336e+07,4.057507e+03,10000
"SLH-DSA-193 Deserialization Private",1.448000e+03,4.808200e+04,2.056671e+03,1.628000e+03,2.440526e+06,1.562218e+03,10000
"SLH-DSA-256 Deserialization Private",2.362000e+03,7.791800e+04,5.038297e+03,3.588000e+03,1.666396e+07,4.082152e+03,10000
"SLH-DSA-257 Deserialization Private",1.432000e+03,6.775000e+04,2.420499e+03,1.730000e+03,4.542620e+06,2.131342e+03,10000
"SLH-DSA-128 Deserialization Public",2.152000e+03,8.237800e+04,4.103444e+03,3.178000e+03,1.164437e+07,3.412385e+03,10000
"SLH-DSA-129 Deserialization Public",1.168000e+03,4.450600e+04,1.631193e+03,1.402000e+03,1.171146e+06,1.082195e+03,10000
"SLH-DSA-192 Deserialization Public",2.330000e+03,7.237800e+04,4.450062e+03,3.368000e+03,1.129917e+07,3.361424e+03,10000
"SLH-DSA-193 Deserialization Public",1.290000e+03,8.662200e+04,1.789029e+03,1.488000e+03,2.094706e+06,1.447310e+03,10000
"SLH-DSA-256 Deserialization Public",2.274000e+03,6.247000e+04,4.061518e+03,3.216000e+03,9.522138e+06,3.085796e+03,10000
"SLH-DSA-257 Deserialization Public",1.294000e+03,5.314600e+04,2.088260e+03,1.574000e+03,3.010780e+06,1.735160e+03,10000
"SLH-DSA-128 Signing",1.512951e+09,1.651362e+09,1.525088e+09,1.517840e+09,2.608948e+14,1.615224e+07,10000
"SLH-DSA-129 Signing",7.255508e+07,8.740359e+07,7.309235e+07,7.278496e+07,8.115516e+11,9.008616e+05,10000
"SLH-DSA-192 Signing",2.704765e+09,3.065455e+09,2.730376e+09,2.721514e+09,7.545991e+14,2.746997e+07,10000
